,title,date,links
0,Gender-based violence | Botshelo Motsomi's family distraught following her murder,2020-06-15,https://www.youtube.com/watch?v=08g3HzNim3U
1,Say No to Gender Based Violence - Xhosa poem #uyinenemrwetyana,2019-09-09,https://www.youtube.com/watch?v=ImHAKuX6rrc
2,Dealing with gender-based violence in Nigeria,2020-07-30,https://www.youtube.com/watch?v=-27dXoSFcqM
3,Domestic Violence | The Bitter Story Of A Dying Wife 1 - Nigerian Full Movies | Latest African Film,2020-11-12,https://www.youtube.com/watch?v=NW4MZECISfc
4,Counselling - Day 8 of Plan International Nigeria's #MyGBVStory,2019-12-01,https://www.youtube.com/watch?v=rWo55DgWKEs
5,#ChildNotBride: Activist Says Nigeria Should Conform To International Standard Pt.2,2013-07-22,https://www.youtube.com/watch?v=j42EDA3piUE
6,South Africa activists protest gender-based violence,2019-09-13,https://www.youtube.com/watch?v=e9mvnYBpVmg
7,Violence against women and girls in Nigeria,2021-06-03,https://www.youtube.com/watch?v=io3-WMlxjlY
8,Aagahi - Domestic Violence I,2018-09-24,https://www.youtube.com/watch?v=Fk9RX6MQwM8
9,GBV AoR Monthly Call - February 2021,2021-03-03,https://www.youtube.com/watch?v=NCUFruSBpS4
10,CP Kola Okunlola of Sokoto Command Respond to Issue of Police Process,2021-03-03,https://www.youtube.com/watch?v=LGu4KSyUi3g
11,SENSITIZATION ON GENDER BASED VIOLENCE KABUSA MARKET WOMEN,2018-09-26,https://www.youtube.com/watch?v=SdaOWM6qx3U
12,"NACA,NHRC Collaborates Against Gender Based Violence.",2021-03-29,https://www.youtube.com/watch?v=yRRKAYqMRfY
13,What is Sexual Gender Based Violence (SGBV)?,2020-04-13,https://www.youtube.com/watch?v=NZzMrQsHs3g
14,Girls on the Airwaves Promo,2018-11-28,https://www.youtube.com/watch?v=oPRJAIZAMus
15,02 - How unconventional data can help inform gender-based violence responses,2020-05-19,https://www.youtube.com/watch?v=OWTxQUY44u4
16,Jadda Garko - massage to Nigerians 2020,2018-12-27,https://www.youtube.com/watch?v=UoZKL7CJHiA
17,How Pakistan's Violence Against Women Center is fighting a deadly cultural norm | Hafsa Lak,2018-02-22,https://www.youtube.com/watch?v=eWz2s4DX-_w
18,16 Days of Activism against Gender-Based Violence - General Assembly Chief,2020-11-25,https://www.youtube.com/watch?v=Sso6N3seuDw
19,16 Days of Activism against Gender-Based Violence,2019-11-26,https://www.youtube.com/watch?v=ZesPYzoWyEY
20,HILLSIDE STORIES (EPISODE 7),2021-05-17,https://www.youtube.com/watch?v=J_NEgl5nuis
21,Domestic Violence and Crime Against Women in 5 minutes in Hindi.,2019-05-11,https://www.youtube.com/watch?v=4QomwjBvvZE
22,Curbing Violence Against Women: Nigerians Call For Castration OF Rapists,2020-06-26,https://www.youtube.com/watch?v=gXLUuI2Y8QQ
23,THE ROOT COURSE OF GENDER BASED VIOLENCE PART 2,2020-08-20,https://www.youtube.com/watch?v=Uvw-8o_T1n4
24,16 Days of Activism Against Gender-Based Violence in Nigeria,2019-11-27,https://www.youtube.com/watch?v=_Rd5SGhtohM
25,A message to my Senator: the cost of GBV in Nigeria PART I,2015-09-10,https://www.youtube.com/watch?v=vxJbULYVgTA
26,Nigeria's population boom - curse or blessing? | Edith Kimani in Kano,2019-10-31,https://www.youtube.com/watch?v=41NvhzYwUVo
27,Sex for Grades: undercover inside Nigerian and Ghanaian universities - BBC Africa Eye documentary,2019-10-07,https://www.youtube.com/watch?v=we-F0Gi0Lqs
28,What is the Impact of the Pandemic on Women and Girls? Coronavirus Live Series,2020-05-15,https://www.youtube.com/watch?v=q75-Mpva20c
29,"Tigray/Ethiopia: Distressing Reports of Sexual Violence, Killings, & Widespread destruction - OHCHR",2021-03-04,https://www.youtube.com/watch?v=4HYFhhNVvpo
30,Gender Based Violence: Group Creates Awareness In Abeokuta,2017-03-22,https://www.youtube.com/watch?v=4O50J_MGxrs
31,Inspiration: What is Gender Based Violence?,2015-08-31,https://www.youtube.com/watch?v=3AF9Rjki0DE
32,"Gender based violence: EU, Denmark organise sensitization campaign",2018-12-03,https://www.youtube.com/watch?v=qCrLtSd4cPw
33,Gender Based Violence: UNDP Representative Condemns Rising Cases In Nigeria,2021-04-02,https://www.youtube.com/watch?v=zJYScrSGkes
34,Short Film on Violence Against Women and Children,2014-04-28,https://www.youtube.com/watch?v=xXRLFdRS6jY
35,Unpacking Gender Based Violence -  Part 1,2021-05-14,https://www.youtube.com/watch?v=ZXF4hJNmrow
36,WATCH: Ano nga ba ang Gender-Based Violence?,2020-07-22,https://www.youtube.com/watch?v=YzanQpivd6k
37,Mental Health = Health (for diverse communities),2019-03-18,https://www.youtube.com/watch?v=Izp4lZcJoSQ
38,Amina Mohammed: rethinking responses to gender-based violence,2019-06-24,https://www.youtube.com/watch?v=wpKNqVNiBaE
39,SARChi Chair In African Feminist Imagination Launch Part 2,2021-06-05,https://www.youtube.com/watch?v=cdSfbSwJoV4
40,Day 47: Reliving the fun | Big Brother: Lockdown | Africa Magic,2020-09-04,https://www.youtube.com/watch?v=X76GgvmHxpE
41,Key female stakeholders discussing the importance and issues around gender equality in Nigeria,2021-05-04,https://www.youtube.com/watch?v=JJr_6-JbVCk
42,THE SCALE ON GENDER BASED VIOLENCE | July 8 | NTA,2020-07-08,https://www.youtube.com/watch?v=dXRUHNib9lo
43,"Pan-African Parliament chaotic scenes in Midrand, Johannesburg",2021-05-31,https://www.youtube.com/watch?v=fmfnESznb90
44,Gender Equality In Work Place:  Nigeria Ranks 4th In Africa,2018-11-04,https://www.youtube.com/watch?v=V1bxGtrDoOo
45,Online Gender-based Violence in the Philippines,2020-03-23,https://www.youtube.com/watch?v=wGiras7wrYU
46,#GBVLockdown | Increase of gender-based violence during lockdown is a huge concern,2020-04-21,https://www.youtube.com/watch?v=oH4Tk-rILkc
47,Building a violence free society- GBV,2021-04-30,https://www.youtube.com/watch?v=8V3NUObpYKs
48,Gender-based violence and attacks against foreigners grip South Africa,2019-09-05,https://www.youtube.com/watch?v=YBU05vng-8o
49,GENDER BASED VIOLENCE REPORTING APP,2021-03-22,https://www.youtube.com/watch?v=-bq1EBp2ld4
50,Elimination of violence against women | Yolanda George| TVC News,2016-12-09,https://www.youtube.com/watch?v=2FauJEJpuBw
51,Vodacom #BeTheLight | Say No to Gender-based Violence,2020-10-14,https://www.youtube.com/watch?v=XhRxP6uwb1k
52,Mitigating Gender Base Violence in Northern Nigeria,2021-05-10,https://www.youtube.com/watch?v=RCqlrv4hPvU
53,GBV AoR CoP: Exploring Faith and Spirituality with GBV response,2021-06-03,https://www.youtube.com/watch?v=9vNN7ynt4IU
54,WRAPH Offers Free Response Services To Survivors Of Gender-Based-Violence In Alimosho,2021-04-08,https://www.youtube.com/watch?v=eG0MlYdgwZc
55,Gender-Based Violence: Nigerian women call for end to culture of silence,2021-05-28,https://www.youtube.com/watch?v=AvcokWuNvJ8
56,WATCH: Woman allegedly assaulted by police officers at Canal Walk,2018-03-26,https://www.youtube.com/watch?v=32OcqvT1wrI
57,5th talk in the OCRC series. Talk given by Dr Anderson Jeremiah on Dalit Theology. 7th June 2021,2021-06-07,https://www.youtube.com/watch?v=rv4SWSeUrkc
58,WATCH AS WOMEN SET TO IMPROVE GENDER EQUALITY IN NIGERIA,2020-12-11,https://www.youtube.com/watch?v=pUpuz7dcd4A
59,"Domestic Violence: Group Advises Victims To Leave Toxic Marriage, Seek Counsel",2021-04-03,https://www.youtube.com/watch?v=KslmulKrouo
60,AIDSFree/Nigeria Gender-based Violence at Home Awareness Video,2021-01-11,https://www.youtube.com/watch?v=UUq9Nl0Dwok
61,NIGERIAN WOMEN CALL FOR TOUGHER PENALTIES OF PERPETRATORS OF GENDER VIOLENCE,2020-06-19,https://www.youtube.com/watch?v=SQ3vrjZsoVE
62,Curbing Gender-based violence in Nigeria,2020-02-24,https://www.youtube.com/watch?v=YMDVYGi5kCU
63,"Vote of Thanks by Mrs Aisha Magima at the Commissioner of Police Office, Yola",2021-02-24,https://www.youtube.com/watch?v=RoGYz4fR4VA
64,Black Coffee | Tomorrowland Belgium 2019,2019-07-26,https://www.youtube.com/watch?v=xB-mSCeDqUE
65,16 Days of Activism against GBV / Brenda,2018-12-06,https://www.youtube.com/watch?v=xj4MPzpr-4U
66,Should The High Rate Of Domestic Violence In Nigeria Be A Cause For Worry? Pt.1 |Big Story|,2018-06-12,https://www.youtube.com/watch?v=TBsKCSteG78
67,Gender-based violence and defilement cases rise to alarming levels during the COVID-19 Pandemic.,2020-08-24,https://www.youtube.com/watch?v=56YAOKzh1HM
68,Prevalence Of Domestic Violence In Nigeria.,2020-05-09,https://www.youtube.com/watch?v=MD8cyqnQgt4
69,[Journalists' Hangout] FG Suspends Twitter Operations In Nigeria,2021-06-07,https://www.youtube.com/watch?v=1Zs-rwRu7XM
70,Restorative Justice & Gender Based Violence,2020-07-22,https://www.youtube.com/watch?v=JVy-5u17M08
71,"Mrs Adamu Florence Danladi, Presenting SGBV Figures from Nana Knadijat Centre, Sokoto",2021-03-03,https://www.youtube.com/watch?v=WsPCiUl2eps
72,books i want to read in june !! [cc],2021-06-07,https://www.youtube.com/watch?v=SJ63xiBkdFQ
73,HILLSIDE STORIES (EPISODE 1),2021-05-17,https://www.youtube.com/watch?v=gMzsEh3jGPU
74,Saying “No” to Gender-based Violence in Kenya,2015-10-28,https://www.youtube.com/watch?v=KaHy3Rml7WM
75,Violence Against Women - Important for Mains & Sociology - IAS || Mains || Sociology,2018-09-24,https://www.youtube.com/watch?v=-9TxPdB3wIQ
76,Impact of COVID-19 on Gender-based Violence,2020-08-05,https://www.youtube.com/watch?v=AjcW-YRlmuQ
77,Gender stereotypes and education,2017-08-17,https://www.youtube.com/watch?v=nrZ21nD9I-0
78,"Alone and Unsafe: Children, migration and sexual and gender-based violence",2020-02-20,https://www.youtube.com/watch?v=r3qq6HIlHsQ
79,Violence against Women and Children,2020-09-22,https://www.youtube.com/watch?v=-cP7T64Xhe4
80,How Domestic Violence Cases Have Risen During COVID-19 Lockdown | NewsMo,2020-04-09,https://www.youtube.com/watch?v=yjWe_s33HU8
81,NWU Gender based violence awareness campaign,2021-04-05,https://www.youtube.com/watch?v=nPmDuPAFfEc
82,Rhythm City Gender Based Violence,2020-08-17,https://www.youtube.com/watch?v=Y8VV_Q2euc4
83,Surviving Gang Rape Organised By A Friend: Pauline Juma's Story (Full Eps),2019-03-10,https://www.youtube.com/watch?v=zKKRsfrVBY4
84,Gender-based violence against women,2018-09-03,https://www.youtube.com/watch?v=HrVAUEeiUBQ
85,16 Days of Activism against GBV,2021-04-29,https://www.youtube.com/watch?v=uXwsO8L3quo
86,Town Hall Discussion: The future of peace in Nigeria,2021-05-26,https://www.youtube.com/watch?v=n9LMw_vJBng
87,School related gender-based violence against children during a pandemic,2021-03-20,https://www.youtube.com/watch?v=iqsGmeLlJbk
88,GLAD 2021 AGM: DRF and partners’ work on Gender based violence during COVID,2021-03-08,https://www.youtube.com/watch?v=XUBBWY5adRk
89,United Against Violence - Combating Sexual and Gender-Based Violence,2011-12-02,https://www.youtube.com/watch?v=5_vQfShG10E
90,African Roots of Gender Equality | Reagan Adenyi | TEDxBowValleyCollege,2017-12-18,https://www.youtube.com/watch?v=zgW8CZEnm7c
91,Malema calls for an end to gender based violence,2019-07-27,https://www.youtube.com/watch?v=93zBQuO_jPo
92,REPORT ON GENDER INEQUALITY IN NIGERIA,2012-05-04,https://www.youtube.com/watch?v=zjfxOVU3opo
93,"campaign ""16 days of activism against gender based violence""",2016-11-22,https://www.youtube.com/watch?v=6Gb5TQsi4Vo
