,title,date,links
0,Gender-based violence | Botshelo Motsomi's family distraught following her murder,2020-06-15,https://www.youtube.com/watch?v=08g3HzNim3U
1,Dealing with gender-based violence in Nigeria,2020-07-30,https://www.youtube.com/watch?v=-27dXoSFcqM
2,Domestic Violence | The Bitter Story Of A Dying Wife 1 - Nigerian Full Movies | Latest African Film,2020-11-12,https://www.youtube.com/watch?v=NW4MZECISfc
3,Violence against women and girls in Nigeria,2021-06-03,https://www.youtube.com/watch?v=io3-WMlxjlY
4,GBV AoR Monthly Call - February 2021,2021-03-03,https://www.youtube.com/watch?v=NCUFruSBpS4
5,CP Kola Okunlola of Sokoto Command Respond to Issue of Police Process,2021-03-03,https://www.youtube.com/watch?v=LGu4KSyUi3g
6,"NACA,NHRC Collaborates Against Gender Based Violence.",2021-03-29,https://www.youtube.com/watch?v=yRRKAYqMRfY
7,What is Sexual Gender Based Violence (SGBV)?,2020-04-13,https://www.youtube.com/watch?v=NZzMrQsHs3g
8,02 - How unconventional data can help inform gender-based violence responses,2020-05-19,https://www.youtube.com/watch?v=OWTxQUY44u4
9,16 Days of Activism against Gender-Based Violence - General Assembly Chief,2020-11-25,https://www.youtube.com/watch?v=Sso6N3seuDw
10,HILLSIDE STORIES (EPISODE 7),2021-05-17,https://www.youtube.com/watch?v=J_NEgl5nuis
11,Curbing Violence Against Women: Nigerians Call For Castration OF Rapists,2020-06-26,https://www.youtube.com/watch?v=gXLUuI2Y8QQ
12,THE ROOT COURSE OF GENDER BASED VIOLENCE PART 2,2020-08-20,https://www.youtube.com/watch?v=Uvw-8o_T1n4
13,What is the Impact of the Pandemic on Women and Girls? Coronavirus Live Series,2020-05-15,https://www.youtube.com/watch?v=q75-Mpva20c
14,"Tigray/Ethiopia: Distressing Reports of Sexual Violence, Killings, & Widespread destruction - OHCHR",2021-03-04,https://www.youtube.com/watch?v=4HYFhhNVvpo
15,Gender Based Violence: UNDP Representative Condemns Rising Cases In Nigeria,2021-04-02,https://www.youtube.com/watch?v=zJYScrSGkes
16,Unpacking Gender Based Violence -  Part 1,2021-05-14,https://www.youtube.com/watch?v=ZXF4hJNmrow
17,WATCH: Ano nga ba ang Gender-Based Violence?,2020-07-22,https://www.youtube.com/watch?v=YzanQpivd6k
18,SARChi Chair In African Feminist Imagination Launch Part 2,2021-06-05,https://www.youtube.com/watch?v=cdSfbSwJoV4
19,Day 47: Reliving the fun | Big Brother: Lockdown | Africa Magic,2020-09-04,https://www.youtube.com/watch?v=X76GgvmHxpE
20,Key female stakeholders discussing the importance and issues around gender equality in Nigeria,2021-05-04,https://www.youtube.com/watch?v=JJr_6-JbVCk
21,THE SCALE ON GENDER BASED VIOLENCE | July 8 | NTA,2020-07-08,https://www.youtube.com/watch?v=dXRUHNib9lo
22,"Pan-African Parliament chaotic scenes in Midrand, Johannesburg",2021-05-31,https://www.youtube.com/watch?v=fmfnESznb90
23,Online Gender-based Violence in the Philippines,2020-03-23,https://www.youtube.com/watch?v=wGiras7wrYU
24,#GBVLockdown | Increase of gender-based violence during lockdown is a huge concern,2020-04-21,https://www.youtube.com/watch?v=oH4Tk-rILkc
25,Building a violence free society- GBV,2021-04-30,https://www.youtube.com/watch?v=8V3NUObpYKs
26,GENDER BASED VIOLENCE REPORTING APP,2021-03-22,https://www.youtube.com/watch?v=-bq1EBp2ld4
27,Vodacom #BeTheLight | Say No to Gender-based Violence,2020-10-14,https://www.youtube.com/watch?v=XhRxP6uwb1k
28,Mitigating Gender Base Violence in Northern Nigeria,2021-05-10,https://www.youtube.com/watch?v=RCqlrv4hPvU
29,GBV AoR CoP: Exploring Faith and Spirituality with GBV response,2021-06-03,https://www.youtube.com/watch?v=9vNN7ynt4IU
30,WRAPH Offers Free Response Services To Survivors Of Gender-Based-Violence In Alimosho,2021-04-08,https://www.youtube.com/watch?v=eG0MlYdgwZc
31,Gender-Based Violence: Nigerian women call for end to culture of silence,2021-05-28,https://www.youtube.com/watch?v=AvcokWuNvJ8
32,5th talk in the OCRC series. Talk given by Dr Anderson Jeremiah on Dalit Theology. 7th June 2021,2021-06-07,https://www.youtube.com/watch?v=rv4SWSeUrkc
33,WATCH AS WOMEN SET TO IMPROVE GENDER EQUALITY IN NIGERIA,2020-12-11,https://www.youtube.com/watch?v=pUpuz7dcd4A
34,"Domestic Violence: Group Advises Victims To Leave Toxic Marriage, Seek Counsel",2021-04-03,https://www.youtube.com/watch?v=KslmulKrouo
35,AIDSFree/Nigeria Gender-based Violence at Home Awareness Video,2021-01-11,https://www.youtube.com/watch?v=UUq9Nl0Dwok
36,NIGERIAN WOMEN CALL FOR TOUGHER PENALTIES OF PERPETRATORS OF GENDER VIOLENCE,2020-06-19,https://www.youtube.com/watch?v=SQ3vrjZsoVE
37,Curbing Gender-based violence in Nigeria,2020-02-24,https://www.youtube.com/watch?v=YMDVYGi5kCU
38,"Vote of Thanks by Mrs Aisha Magima at the Commissioner of Police Office, Yola",2021-02-24,https://www.youtube.com/watch?v=RoGYz4fR4VA
39,Gender-based violence and defilement cases rise to alarming levels during the COVID-19 Pandemic.,2020-08-24,https://www.youtube.com/watch?v=56YAOKzh1HM
40,Prevalence Of Domestic Violence In Nigeria.,2020-05-09,https://www.youtube.com/watch?v=MD8cyqnQgt4
41,[Journalists' Hangout] FG Suspends Twitter Operations In Nigeria,2021-06-07,https://www.youtube.com/watch?v=1Zs-rwRu7XM
42,Restorative Justice & Gender Based Violence,2020-07-22,https://www.youtube.com/watch?v=JVy-5u17M08
43,"Mrs Adamu Florence Danladi, Presenting SGBV Figures from Nana Knadijat Centre, Sokoto",2021-03-03,https://www.youtube.com/watch?v=WsPCiUl2eps
44,books i want to read in june !! [cc],2021-06-07,https://www.youtube.com/watch?v=SJ63xiBkdFQ
45,HILLSIDE STORIES (EPISODE 1),2021-05-17,https://www.youtube.com/watch?v=gMzsEh3jGPU
46,Impact of COVID-19 on Gender-based Violence,2020-08-05,https://www.youtube.com/watch?v=AjcW-YRlmuQ
47,"Alone and Unsafe: Children, migration and sexual and gender-based violence",2020-02-20,https://www.youtube.com/watch?v=r3qq6HIlHsQ
48,Violence against Women and Children,2020-09-22,https://www.youtube.com/watch?v=-cP7T64Xhe4
49,How Domestic Violence Cases Have Risen During COVID-19 Lockdown | NewsMo,2020-04-09,https://www.youtube.com/watch?v=yjWe_s33HU8
